cell_id	guide	num_guides	gene
A549	AKT1-1	4	AKT1
ES2	AKT1-1	4	AKT1
HCC44	AKT1-1	4	AKT1
A549	AKT1-2	4	AKT1
ES2	AKT1-2	4	AKT1
HCC44	AKT1-2	4	AKT1
A549	ARID1B-1	4	ARID1B
ES2	ARID1B-1	4	ARID1B
HCC44	ARID1B-1	4	ARID1B
A549	ARID1B-2	4	ARID1B
ES2	ARID1B-2	4	ARID1B
HCC44	ARID1B-2	4	ARID1B
A549	ATF4-1	4	ATF4
ES2	ATF4-1	4	ATF4
HCC44	ATF4-1	4	ATF4
A549	ATF4-2	4	ATF4
ES2	ATF4-2	4	ATF4
HCC44	ATF4-2	4	ATF4
A549	ATP50-1	4	ATP50
ES2	ATP50-1	4	ATP50
HCC44	ATP50-1	4	ATP50
A549	ATP50-2	4	ATP50
ES2	ATP50-2	4	ATP50
HCC44	ATP50-2	4	ATP50
A549	AURKB-2	4	AURKB
ES2	AURKB-2	4	AURKB
HCC44	AURKB-2	4	AURKB
A549	BCL2-1	4	BCL2
ES2	BCL2-1	4	BCL2
HCC44	BCL2-1	4	BCL2
A549	BCL2-2	4	BCL2
ES2	BCL2-2	4	BCL2
HCC44	BCL2-2	4	BCL2
A549	BCL2L2-1	4	BCL2L2
ES2	BCL2L2-1	4	BCL2L2
HCC44	BCL2L2-1	4	BCL2L2
A549	BCL2L2-2	4	BCL2L2
ES2	BCL2L2-2	4	BCL2L2
HCC44	BCL2L2-2	4	BCL2L2
A549	BCL2L2-4	4	BCL2L2
ES2	BCL2L2-4	4	BCL2L2
HCC44	BCL2L2-4	4	BCL2L2
A549	BRAF-2	4	BRAF
ES2	BRAF-2	4	BRAF
HCC44	BRAF-2	4	BRAF
A549	BRAF1-1	4	BRAF1
ES2	BRAF1-1	4	BRAF1
HCC44	BRAF1-1	4	BRAF1
A549	BRCA1-1	4	BRCA1
ES2	BRCA1-1	4	BRCA1
HCC44	BRCA1-1	4	BRCA1
A549	BRCA1-2	4	BRCA1
ES2	BRCA1-2	4	BRCA1
HCC44	BRCA1-2	4	BRCA1
A549	BRD4-1	4	BRD4
ES2	BRD4-1	4	BRD4
HCC44	BRD4-1	4	BRD4
A549	BRD4-2	4	BRD4
ES2	BRD4-2	4	BRD4
HCC44	BRD4-2	4	BRD4
A549	CCND1-1	4	CCND1
ES2	CCND1-1	4	CCND1
HCC44	CCND1-1	4	CCND1
A549	CCND1-2	4	CCND1
ES2	CCND1-2	4	CCND1
HCC44	CCND1-2	4	CCND1
A549	CCNE1-1	4	CCNE1
ES2	CCNE1-1	4	CCNE1
HCC44	CCNE1-1	4	CCNE1
A549	CCNE1-2	4	CCNE1
ES2	CCNE1-2	4	CCNE1
HCC44	CCNE1-2	4	CCNE1
A549	CDK2-1	4	CDK2
ES2	CDK2-1	4	CDK2
HCC44	CDK2-1	4	CDK2
A549	CDK2-2	4	CDK2
ES2	CDK2-2	4	CDK2
HCC44	CDK2-2	4	CDK2
A549	CDK4-1	4	CDK4
ES2	CDK4-1	4	CDK4
HCC44	CDK4-1	4	CDK4
A549	CDK4-2	4	CDK4
ES2	CDK4-2	4	CDK4
HCC44	CDK4-2	4	CDK4
A549	CDK4-3	4	CDK4
ES2	CDK4-3	4	CDK4
HCC44	CDK4-3	4	CDK4
A549	CDK4_CYP27B1-2F	4	CDK4_CYP27B1
A549	CHEK2-1	4	CHEK2
ES2	CHEK2-1	4	CHEK2
HCC44	CHEK2-1	4	CHEK2
A549	CHEK2-2	4	CHEK2
ES2	CHEK2-2	4	CHEK2
HCC44	CHEK2-2	4	CHEK2
A549	COX5B-1	4	COX5B
ES2	COX5B-1	4	COX5B
HCC44	COX5B-1	4	COX5B
A549	COX5B-2	4	COX5B
ES2	COX5B-2	4	COX5B
HCC44	COX5B-2	4	COX5B
A549	CSNK1A1-1	4	CSNK1A1
ES2	CSNK1A1-1	4	CSNK1A1
HCC44	CSNK1A1-1	4	CSNK1A1
A549	CSNK1A1-2	4	CSNK1A1
ES2	CSNK1A1-2	4	CSNK1A1
HCC44	CSNK1A1-2	4	CSNK1A1
A549	CTNNB1-1	4	CTNNB1
ES2	CTNNB1-1	4	CTNNB1
HCC44	CTNNB1-1	4	CTNNB1
A549	CTNNB1-2	4	CTNNB1
ES2	CTNNB1-2	4	CTNNB1
HCC44	CTNNB1-2	4	CTNNB1
A549	DOT1L-1	4	DOT1L
ES2	DOT1L-1	4	DOT1L
HCC44	DOT1L-1	4	DOT1L
A549	DOT1L-2	4	DOT1L
ES2	DOT1L-2	4	DOT1L
HCC44	DOT1L-2	4	DOT1L
A549	EGFR-1	4	EGFR
ES2	EGFR-1	4	EGFR
HCC44	EGFR-1	4	EGFR
A549	EGFR-2	4	EGFR
ES2	EGFR-2	4	EGFR
HCC44	EGFR-2	4	EGFR
A549	EGLN1-8	4	EGLN1
ES2	EGLN1-8	4	EGLN1
HCC44	EGLN1-8	4	EGLN1
A549	EGLN1-9	4	EGLN1
ES2	EGLN1-9	4	EGLN1
HCC44	EGLN1-9	4	EGLN1
A549	ERBB2-1	4	ERBB2
ES2	ERBB2-1	4	ERBB2
HCC44	ERBB2-1	4	ERBB2
A549	ERBB2-2	4	ERBB2
ES2	ERBB2-2	4	ERBB2
HCC44	ERBB2-2	4	ERBB2
A549	ERBB3-1	4	ERBB3
ES2	ERBB3-1	4	ERBB3
HCC44	ERBB3-1	4	ERBB3
A549	ERBB3-2	4	ERBB3
ES2	ERBB3-2	4	ERBB3
HCC44	ERBB3-2	4	ERBB3
A549	EZH2-1	4	EZH2
ES2	EZH2-1	4	EZH2
HCC44	EZH2-1	4	EZH2
A549	EZH2-2	4	EZH2
ES2	EZH2-2	4	EZH2
HCC44	EZH2-2	4	EZH2
A549	GLS-1	4	GLS
ES2	GLS-1	4	GLS
HCC44	GLS-1	4	GLS
A549	GLS-2	4	GLS
ES2	GLS-2	4	GLS
HCC44	GLS-2	4	GLS
A549	GPX4-1	4	GPX4
ES2	GPX4-1	4	GPX4
HCC44	GPX4-1	4	GPX4
A549	GPX4-2	4	GPX4
ES2	GPX4-2	4	GPX4
HCC44	GPX4-2	4	GPX4
A549	HIF1a-1	4	HIF1a
ES2	HIF1a-1	4	HIF1a
HCC44	HIF1a-1	4	HIF1a
A549	HIF1a-2	4	HIF1a
ES2	HIF1a-2	4	HIF1a
HCC44	HIF1a-2	4	HIF1a
A549	ITGAV-1	4	ITGAV
ES2	ITGAV-1	4	ITGAV
HCC44	ITGAV-1	4	ITGAV
A549	ITGAV-2	4	ITGAV
ES2	ITGAV-2	4	ITGAV
HCC44	ITGAV-2	4	ITGAV
A549	JAK3-1	4	JAK3
ES2	JAK3-1	4	JAK3
HCC44	JAK3-1	4	JAK3
A549	JAK3-2	4	JAK3
ES2	JAK3-2	4	JAK3
HCC44	JAK3-2	4	JAK3
A549	KIF11-1	4	KIF11
ES2	KIF11-1	4	KIF11
