Metadata_Plate_Map_Name,Metadata_Well,Metadata_gene_name,Metadata_pert_name,Metadata_broad_sample,Metadata_cell_line,Metadata_pert_id,Metadata_pert_mfc_id,Metadata_cell_id,Metadata_broad_sample_type,Metadata_pert_type,correlation
DEPENDENCIES1_A549,A02,MCL1,MCL1-5,NA,A549,NA,NA,unknown,trt,trt,0.4486769204482908
DEPENDENCIES1_A549,A03,AKT1,AKT1-1,BRDN0001054908,A549,NA,BRDN0001054908,unknown,trt,trt,-0.01188358477261488
DEPENDENCIES1_A549,A04,KRAS,KRAS-2B,NA,A549,NA,NA,unknown,trt,trt,0.10384825445639721
DEPENDENCIES1_A549,A05,AKT1,AKT1-2,BRDN0001055115,A549,NA,BRDN0001055115,unknown,trt,trt,0.5924733929720314
DEPENDENCIES1_A549,A07,BRAF1,BRAF1-1,BRDN0000986682,A549,NA,BRDN0000986682,unknown,trt,trt,0.1279782932517188
DEPENDENCIES1_A549,A09,BRAF,BRAF-2,BRDN0000986702,A549,NA,BRDN0000986702,unknown,trt,trt,0.38635928337390413
DEPENDENCIES1_A549,A10,MYC,MYC-2,NA,A549,NA,NA,unknown,trt,trt,0.8600045240471862
DEPENDENCIES1_A549,A11,BRD4,BRD4-1,BRDN0000733514,A549,NA,BRDN0000733514,unknown,trt,trt,0.1816366382116476
DEPENDENCIES1_A549,A12,MYC,MYC-1,NA,A549,NA,NA,unknown,trt,trt,0.8906607925756883
DEPENDENCIES1_A549,A13,BRD4,BRD4-2,BRDN0000733577,A549,NA,BRDN0000733577,unknown,trt,trt,0.22137155572940687
DEPENDENCIES1_A549,A14,MCL1,MCL1-2,NA,A549,NA,NA,unknown,trt,trt,-0.01149611554945579
DEPENDENCIES1_A549,A15,CDK4,CDK4-1,BRDN0001053869,A549,NA,BRDN0001053869,unknown,trt,trt,0.7323719672096655
DEPENDENCIES1_A549,A16,BCL2L2,BCL2L2-4,NA,A549,NA,NA,unknown,trt,trt,0.3879183109931157
DEPENDENCIES1_A549,A17,CDK4,CDK4-2,BRDN0001053895,A549,NA,BRDN0001053895,unknown,trt,trt,0.5214859842455075
DEPENDENCIES1_A549,A18,MAPK1,MAPK1-2,NA,A549,NA,NA,unknown,trt,trt,0.11357434813294685
DEPENDENCIES1_A549,A19,CHEK2,CHEK2-1,BRDN0000586287,A549,NA,BRDN0000586287,unknown,trt,trt,0.32734903970241663
DEPENDENCIES1_A549,A20,MAPK1,MAPK1-1,NA,A549,NA,NA,unknown,trt,trt,0.08513477624899322
DEPENDENCIES1_A549,A21,CHEK2,CHEK2-2,BRDN0000585854,A549,NA,BRDN0000585854,unknown,trt,trt,-0.14419691937847726
DEPENDENCIES1_A549,A22,KRAS,KRAS-2A,NA,A549,NA,NA,unknown,trt,trt,0.7160582874077127
DEPENDENCIES1_A549,A23,CSNK1A1,CSNK1A1-1,BRDN0001065659,A549,NA,BRDN0001065659,unknown,trt,trt,0.5940331827289229
DEPENDENCIES1_A549,A24,KRAS,KRAS-1,NA,A549,NA,NA,unknown,trt,trt,0.8499413984288995
DEPENDENCIES1_A549,B01,Chr2,Chr2-1,NA,A549,NA,NA,unknown,trt,trt,0.6787469604488265
DEPENDENCIES1_A549,B02,PPIB,PPIB-2,NA,A549,NA,NA,unknown,trt,trt,0.8481864040870493
DEPENDENCIES1_A549,B03,POLR2D,POLR2D-2,NA,A549,NA,NA,unknown,trt,trt,0.6998882236388577
DEPENDENCIES1_A549,B05,Chr2,Chr2-4,NA,A549,NA,NA,unknown,trt,trt,0.2873504140115163
DEPENDENCIES1_A549,B06,PSMA1,PSMA1-2,NA,A549,NA,NA,unknown,trt,trt,0.9224598661337496
DEPENDENCIES1_A549,B07,PSMA1,PSMA1-1,NA,A549,NA,NA,unknown,trt,trt,0.6290663529357898
DEPENDENCIES1_A549,B08,Chr2,Chr2-5,NA,A549,NA,NA,unknown,trt,trt,0.5815071908861654
DEPENDENCIES1_A549,B10,ORC4,ORC4-1,NA,A549,NA,NA,unknown,trt,trt,-0.1477825616875199
DEPENDENCIES1_A549,B12,Chr2,Chr2-2,NA,A549,NA,NA,unknown,trt,trt,0.5127203705291564
DEPENDENCIES1_A549,B13,Luc,Luc-1,BRDN0000585635,A549,NA,BRDN0000585635,unknown,trt,trt,-0.046873951149565204
DEPENDENCIES1_A549,B15,Luc,Luc-1,BRDN0000585635,A549,NA,BRDN0000585635,unknown,trt,trt,0.05938986925373481
DEPENDENCIES1_A549,B21,PPIB,PPIB-1,NA,A549,NA,NA,unknown,trt,trt,-0.13442574643159802
DEPENDENCIES1_A549,B22,LacZ,LacZ-3,BRDN0000585800,A549,NA,BRDN0000585800,unknown,trt,trt,0.3992206524290887
DEPENDENCIES1_A549,B24,LacZ,LacZ-3,BRDN0000585800,A549,NA,BRDN0000585800,unknown,trt,trt,0.2718793732829644
DEPENDENCIES1_A549,C01,CSNK1A1,CSNK1A1-2,BRDN0000585480,A549,NA,BRDN0000585480,unknown,trt,trt,0.4918085209821904
DEPENDENCIES1_A549,C02,HIF1a,HIF1a-2,NA,A549,NA,NA,unknown,trt,trt,-0.02692852998206693
DEPENDENCIES1_A549,C03,CTNNB1,CTNNB1-1,BRDN0001065286,A549,NA,BRDN0001065286,unknown,trt,trt,0.597965466803663
DEPENDENCIES1_A549,C04,HIF1a,HIF1a-1,NA,A549,NA,NA,unknown,trt,trt,0.01720452569713251
DEPENDENCIES1_A549,C05,CTNNB1,CTNNB1-2,BRDN0000579714,A549,NA,BRDN0000579714,unknown,trt,trt,0.5871192745274002
DEPENDENCIES1_A549,C06,GPX4,GPX4-2,NA,A549,NA,NA,unknown,trt,trt,0.2927058615055512
DEPENDENCIES1_A549,C07,DOT1L,DOT1L-1,BRDN0001057300,A549,NA,BRDN0001057300,unknown,trt,trt,-0.16101177252894458
DEPENDENCIES1_A549,C08,GPX4,GPX4-1,NA,A549,NA,NA,unknown,trt,trt,0.30881031735167314
DEPENDENCIES1_A549,C09,DOT1L,DOT1L-2,BRDN0001057286,A549,NA,BRDN0001057286,unknown,trt,trt,0.5224931754258428
