WellRow	WellCol	well_position	gene_name	pert_name	broad_sample	cell_line
A	1	A01	EMPTY	EMPTY	NA	ES2
A	2	A02	MCL1	MCL1-5	NA	ES2
A	3	A03	AKT1	AKT1-1	BRDN0001054908	ES2
A	4	A04	KRAS	KRAS-2B	NA	ES2
A	5	A05	AKT1	AKT1-2	BRDN0001055115	ES2
A	6	A06	EMPTY	EMPTY	NA	ES2
A	7	A07	BRAF1	BRAF1-1	BRDN0000986682	ES2
A	8	A08	EMPTY	EMPTY	NA	ES2
A	9	A09	BRAF	BRAF-2	BRDN0000986702	ES2
A	10	A10	MYC	MYC-2	NA	ES2
A	11	A11	BRD4	BRD4-1	BRDN0000733514	ES2
A	12	A12	MYC	MYC-1	NA	ES2
A	13	A13	BRD4	BRD4-2	BRDN0000733577	ES2
A	14	A14	MCL1	MCL1-2	NA	ES2
A	15	A15	CDK4	CDK4-1	BRDN0001053869	ES2
A	16	A16	BCL2L2	BCL2L2-4	NA	ES2
A	17	A17	CDK4	CDK4-2	BRDN0001053895	ES2
A	18	A18	MAPK1	MAPK1-2	NA	ES2
A	19	A19	CHEK2	CHEK2-1	BRDN0000586287	ES2
A	20	A20	MAPK1	MAPK1-1	NA	ES2
A	21	A21	CHEK2	CHEK2-2	BRDN0000585854	ES2
A	22	A22	KRAS	KRAS-2A	NA	ES2
A	23	A23	CSNK1A1	CSNK1A1-1	BRDN0001065659	ES2
A	24	A24	KRAS	KRAS-1	NA	ES2
B	1	B01	Chr2	Chr2-1	NA	ES2
B	2	B02	PPIB	PPIB-2	NA	ES2
B	3	B03	POLR2D	POLR2D-2	NA	ES2
B	4	B04	EMPTY	EMPTY	NA	ES2
B	5	B05	Chr2	Chr2-4	NA	ES2
B	6	B06	PSMA1	PSMA1-2	NA	ES2
B	7	B07	PSMA1	PSMA1-1	NA	ES2
B	8	B08	Chr2	Chr2-5	NA	ES2
B	9	B09	EMPTY	EMPTY	NA	ES2
B	10	B10	ORC4	ORC4-1	NA	ES2
B	11	B11	EMPTY	EMPTY	NA	ES2
B	12	B12	Chr2	Chr2-2	NA	ES2
B	13	B13	Luc	Luc-1	BRDN0000585635	ES2
B	14	B14	EMPTY	EMPTY	NA	ES2
B	15	B15	Luc	Luc-1	BRDN0000585635	ES2
B	16	B16	EMPTY	EMPTY	NA	ES2
B	17	B17	EMPTY	EMPTY	NA	ES2
B	18	B18	EMPTY	EMPTY	NA	ES2
B	19	B19	EMPTY	EMPTY	NA	ES2
B	20	B20	EMPTY	EMPTY	NA	ES2
B	21	B21	PPIB	PPIB-1	NA	ES2
B	22	B22	LacZ	LacZ-3	BRDN0000585800	ES2
B	23	B23	EMPTY	EMPTY	NA	ES2
B	24	B24	LacZ	LacZ-3	BRDN0000585800	ES2
C	1	C01	CSNK1A1	CSNK1A1-2	BRDN0000585480	ES2
C	2	C02	HIF1a	HIF1a-2	NA	ES2
C	3	C03	CTNNB1	CTNNB1-1	BRDN0001065286	ES2
C	4	C04	HIF1a	HIF1a-1	NA	ES2
C	5	C05	CTNNB1	CTNNB1-2	BRDN0000579714	ES2
C	6	C06	GPX4	GPX4-2	NA	ES2
C	7	C07	DOT1L	DOT1L-1	BRDN0001057300	ES2
C	8	C08	GPX4	GPX4-1	NA	ES2
C	9	C09	DOT1L	DOT1L-2	BRDN0001057286	ES2
C	10	C10	GLS	GLS-2	NA	ES2
C	11	C11	EGFR	EGFR-1	BRDN0001054960	ES2
C	12	C12	GLS	GLS-1	NA	ES2
C	13	C13	EGFR	EGFR-2	BRDN0001054761	ES2
